"country","avgquantity"
"Bulgaria",1241.2000000000000000
"Kazakhstan",1184.0000000000000000
"Saudi Arabia",1047.3333333333333333
"Serbia",984.5000000000000000
"Costa Rica",879.0000000000000000
"Croatia",860.5000000000000000
"Russia",688.4000000000000000
"Armenia",675.5000000000000000
"Philippines",623.9000000000000000
"Czechia",584.7894736842105263
"Malaysia",562.6470588235294118
"Hong Kong",553.5000000000000000
"Taiwan",513.4190476190476190
"Nigeria",480.0000000000000000
"Italy",457.9710144927536232
"South Africa",444.5000000000000000
"Argentina",435.6470588235294118
"United Arab Emirates",378.4666666666666667
"Denmark",375.2400000000000000
"Spain",374.0819672131147541
"Puerto Rico",373.1666666666666667
"Dominican Republic",346.0000000000000000
"Romania",344.2083333333333333
"Chile",338.4166666666666667
"Singapore",336.2253521126760563
"Slovenia",330.0000000000000000
"Mexico",318.6428571428571429
"Brazil",312.5694444444444444
"New Zealand",310.6000000000000000
"Ukraine",310.3103448275862069
"(not set)",305.5833333333333333
"Switzerland",302.3023255813953488
"Canada",299.0705521472392638
"Greece",283.3783783783783784
"Peru",281.1500000000000000
"United States",274.0705910504905480
"Nicaragua",268.0000000000000000
"France",252.4640000000000000
"United Kingdom",235.6182572614107884
"Japan",232.9647887323943662
"India",230.6934306569343066
"Portugal",230.5454545454545455
"Ireland",230.0769230769230769
"South Korea",229.0833333333333333
"Australia",228.8500000000000000
"Netherlands",220.1686746987951807
"Hungary",216.7500000000000000
"Thailand",216.2083333333333333
"Germany",210.5843373493975904
"Turkey",209.7894736842105263
"Colombia",208.1724137931034483
"Poland",192.1269841269841270
"Finland",190.2222222222222222
"Panama",187.8333333333333333
"Austria",166.0000000000000000
"Belgium",165.2333333333333333
"Sweden",160.0666666666666667
"Venezuela",153.6521739130434783
"Cyprus",147.5000000000000000
"Estonia",137.0000000000000000
"Bangladesh",131.9000000000000000
"Kyrgyzstan",123.0000000000000000
"Pakistan",115.9375000000000000
"Kuwait",107.5000000000000000
"Botswana",107.5000000000000000
"Vietnam",104.7500000000000000
"Israel",96.6000000000000000
"Cambodia",92.5000000000000000
"Indonesia",73.4411764705882353
"China",70.7368421052631579
"Slovakia",62.2142857142857143
"Belarus",58.8333333333333333
"Bolivia",58.8333333333333333
"Norway",55.8571428571428571
"Guatemala",40.1111111111111111
"Latvia",38.0000000000000000
"Egypt",36.0000000000000000
"Sri Lanka",21.7826086956521739
"Ecuador",18.7500000000000000
"Iraq",6.5000000000000000
"El Salvador",6.4000000000000000
